,筋力,敏捷,技術,変化球,精神,査定値
1,,,,,,-125.44
2,1.0,0.0,2.0,0.0,1.0,-117.6
3,1.0,0.0,2.0,0.0,1.0,-117.6
4,1.0,0.0,2.0,0.0,1.0,-117.6
5,1.0,0.0,2.0,0.0,1.0,-117.6
6,1.0,0.0,2.0,0.0,1.0,-109.76
7,1.0,0.0,2.0,0.0,1.0,-109.76
8,1.0,0.0,2.0,0.0,1.0,-109.76
9,1.0,0.0,2.0,0.0,1.0,-109.76
10,1.0,0.0,2.0,0.0,1.0,-101.92
11,1.0,0.0,4.0,0.0,3.0,-101.92
12,1.0,0.0,4.0,0.0,3.0,-101.92
13,1.0,0.0,4.0,0.0,3.0,-101.92
14,1.0,0.0,4.0,0.0,3.0,-94.08
15,1.0,0.0,4.0,0.0,3.0,-94.08
16,1.0,0.0,4.0,0.0,3.0,-94.08
17,1.0,0.0,4.0,0.0,3.0,-94.08
18,1.0,0.0,4.0,0.0,3.0,-86.24
19,1.0,0.0,4.0,0.0,3.0,-86.24
20,1.0,0.0,4.0,0.0,3.0,-86.24
21,1.0,0.0,6.0,0.0,4.0,-86.24
22,1.0,0.0,6.0,0.0,4.0,-78.4
23,1.0,0.0,6.0,0.0,4.0,-78.4
24,1.0,0.0,6.0,0.0,4.0,-78.4
25,1.0,0.0,6.0,0.0,4.0,-78.4
26,1.0,0.0,6.0,0.0,4.0,-70.56
27,1.0,0.0,6.0,0.0,4.0,-70.56
28,1.0,0.0,6.0,0.0,4.0,-70.56
29,1.0,0.0,6.0,0.0,4.0,-70.56
30,1.0,0.0,6.0,0.0,4.0,-47.04
31,2.0,0.0,8.0,0.0,6.0,-47.04
32,2.0,0.0,8.0,0.0,6.0,-47.04
33,2.0,0.0,8.0,0.0,6.0,-47.04
34,2.0,0.0,8.0,0.0,6.0,-39.2
35,2.0,0.0,8.0,0.0,6.0,-39.2
36,2.0,0.0,8.0,0.0,6.0,-39.2
37,2.0,0.0,8.0,0.0,6.0,-39.2
38,2.0,0.0,8.0,0.0,6.0,-31.36
39,2.0,0.0,8.0,0.0,6.0,-31.36
40,2.0,0.0,8.0,0.0,6.0,0.0
41,3.0,0.0,10.0,0.0,8.0,0.0
42,3.0,0.0,10.0,0.0,8.0,7.84
43,3.0,0.0,10.0,0.0,8.0,7.84
44,3.0,0.0,10.0,0.0,8.0,7.84
45,3.0,0.0,10.0,0.0,8.0,7.84
46,3.0,0.0,10.0,0.0,8.0,15.68
47,3.0,0.0,10.0,0.0,8.0,15.68
48,3.0,0.0,10.0,0.0,8.0,15.68
49,3.0,0.0,10.0,0.0,8.0,15.68
50,3.0,0.0,10.0,0.0,8.0,23.52
51,3.0,0.0,12.0,0.0,9.0,23.52
52,3.0,0.0,12.0,0.0,9.0,23.52
53,3.0,0.0,12.0,0.0,9.0,23.52
54,3.0,0.0,12.0,0.0,9.0,31.36
55,3.0,0.0,12.0,0.0,9.0,31.36
56,3.0,0.0,12.0,0.0,9.0,31.36
57,3.0,0.0,12.0,0.0,9.0,31.36
58,3.0,0.0,12.0,0.0,9.0,39.2
59,3.0,0.0,12.0,0.0,9.0,39.2
60,3.0,0.0,12.0,0.0,9.0,70.56
61,3.0,0.0,14.0,0.0,11.0,70.56
62,3.0,0.0,14.0,0.0,11.0,78.4
63,3.0,0.0,14.0,0.0,11.0,78.4
64,3.0,0.0,14.0,0.0,11.0,78.4
65,3.0,0.0,14.0,0.0,11.0,78.4
66,3.0,0.0,14.0,0.0,11.0,86.24
67,3.0,0.0,14.0,0.0,11.0,86.24
68,3.0,0.0,14.0,0.0,11.0,86.24
69,3.0,0.0,14.0,0.0,11.0,86.24
70,3.0,0.0,14.0,0.0,11.0,109.76
71,4.0,0.0,16.0,0.0,12.0,109.76
72,4.0,0.0,16.0,0.0,12.0,109.76
73,4.0,0.0,16.0,0.0,12.0,109.76
74,4.0,0.0,16.0,0.0,12.0,117.6
75,4.0,0.0,16.0,0.0,12.0,117.6
76,4.0,0.0,16.0,0.0,12.0,117.6
77,4.0,0.0,16.0,0.0,12.0,117.6
78,4.0,0.0,16.0,0.0,12.0,125.44
79,4.0,0.0,16.0,0.0,12.0,125.44
80,4.0,0.0,16.0,0.0,12.0,172.48
81,4.0,0.0,18.0,0.0,14.0,172.48
82,4.0,0.0,18.0,0.0,14.0,180.32
83,4.0,0.0,18.0,0.0,14.0,180.32
84,4.0,0.0,18.0,0.0,14.0,180.32
85,4.0,0.0,18.0,0.0,14.0,180.32
86,4.0,0.0,18.0,0.0,14.0,188.16
87,4.0,0.0,18.0,0.0,14.0,188.16
88,4.0,0.0,18.0,0.0,14.0,188.16
89,4.0,0.0,18.0,0.0,14.0,188.16
90,4.0,0.0,18.0,0.0,14.0,219.52
91,5.0,0.0,20.0,0.0,15.0,219.52
92,5.0,0.0,20.0,0.0,15.0,219.52
93,5.0,0.0,20.0,0.0,15.0,219.52
94,5.0,0.0,20.0,0.0,15.0,227.36
95,5.0,0.0,20.0,0.0,15.0,227.36
96,5.0,0.0,20.0,0.0,15.0,227.36
97,5.0,0.0,20.0,0.0,15.0,227.36
98,5.0,0.0,20.0,0.0,15.0,235.2
99,5.0,0.0,20.0,0.0,15.0,235.2
100,5.0,0.0,20.0,0.0,15.0,235.2
101,15.0,0.0,60.0,0.0,45.0,329.28
102,5.0,0.0,20.0,0.0,15.0,337.12
103,5.0,0.0,20.0,0.0,15.0,337.12
104,5.0,0.0,20.0,0.0,15.0,337.12
105,5.0,0.0,20.0,0.0,15.0,337.12
106,10.0,0.0,40.0,0.0,30.0,392.0
107,10.0,0.0,40.0,0.0,30.0,392.0
108,10.0,0.0,40.0,0.0,30.0,392.0
109,10.0,0.0,40.0,0.0,30.0,392.0
110,10.0,0.0,40.0,0.0,30.0,399.84
111,15.0,0.0,60.0,0.0,45.0,446.88
112,15.0,0.0,60.0,0.0,45.0,446.88
113,15.0,0.0,60.0,0.0,45.0,446.88
114,15.0,0.0,60.0,0.0,45.0,454.72
