名前,筋力,敏捷,技術,変化球,精神,査定値
勝負師,0,35,70,0,245,39.2
左キラー,112,70,168,0,0,39.2
電光石火,0,252,112,0,98,66.64
高速ベースラン,0,168,112,0,70,62.72
ストライク送球,112,112,112,0,0,62.72
鉄人,245,0,0,0,105,29.71
球界の頭脳,21,63,175,0,175,37.24
安打製造機,13,25,150,0,63,39.2
アーチスト,188,13,50,0,0,39.2
伝説の引っ張り屋,125,50,13,0,0,70.56
広角砲,178,0,178,0,18,39.2
内野安打王,6,63,38,0,19,70.56
芸術的流し打ち,38,25,88,0,38,70.56
メッタ打ち,50,0,50,0,25,62.72
大番狂わせ,50,0,25,0,50,62.72
一球入魂,56,0,56,0,75,70.56
代打の神様,19,0,0,0,44,62.72
切り込み隊長,31,31,63,0,63,78.4
気迫ヘッド,0,25,19,0,19,70.56
重戦車,50,0,0,0,13,70.56
恐怖の満塁男,31,0,31,0,63,50.96
伝説のサヨナラ男,31,0,63,0,31,50.96
火事場の馬鹿力,38,0,0,0,150,62.72
高球必打,63,25,38,0,0,70.56
低球必打,63,25,38,0,0,70.56
エースキラー,63,0,63,0,63,78.4
精神的支柱,0,50,0,0,76,78.4
高速レーザー,63,63,63,0,0,62.72
魔術師,0,19,94,0,13,62.72
鉄の壁,43,0,10,0,10,70.56
ささやき戦術,21,63,175,0,175,78.4
ハゲタカ,46,25,35,0,20,62.72
超ラッキーボーイ,5,53,46,0,84,70.56
つるべ打ち,21,0,88,0,80,78.4
逆襲,20,0,40,0,65,62.72
内角必打,38,25,63,0,0,70.56
外角必打,38,25,63,0,0,70.56
帰巣本能,31,83,31,0,43,66.64
バズーカ,126,126,126,0,0,78.4
司令塔,20,64,175,0,175,78.4
切磋琢磨,20,0,20,0,86,62.72
ローリング打法,24,24,184,0,16,39.2
アイコンタクト,0,65,125,0,186,78.4
昇り龍,56,0,38,0,94,78.4
ヒートアップ,35,0,35,0,55,62.72
読心術,100,100,100,0,200,98.0
情熱エール,0,0,116,0,260,78.4
一番槍,60,88,0,0,40,78.4
祝福,63,0,63,0,63,78.4
ミラクルボイス,40,0,40,0,108,62.72
トリックスター,0,110,60,0,18,62.72
挑発,94,94,140,0,48,78.4
一発逆転王,148,0,0,0,40,62.72
スイープ,24,140,24,0,0,78.4
洗礼の一撃,38,0,75,0,75,70.56
明鏡止水,50,50,50,0,100,58.8
看破,0,60,45,0,20,62.72
不動の四番,158,0,30,0,0,58.8
孤軍奮闘,50,28,50,0,60,62.72
走力バースト,62,250,0,0,0,101.92
至高の一塁手,0,142,108,0,282,109.76
牛若丸,0,484,114,0,114,98.0
大打撃,284,0,144,0,284,98.0
至高の二塁手,0,112,250,0,170,109.76
至高の三塁手,84,125,125,0,198,109.76
