,筋力,敏捷,技術,変化球,精神,査定値
1,,,,,,-148.96
2,3.0,0.0,1.0,0.0,0.0,-141.12
3,3.0,0.0,1.0,0.0,0.0,-141.12
4,3.0,0.0,1.0,0.0,0.0,-141.12
5,3.0,0.0,1.0,0.0,0.0,-133.28
6,3.0,0.0,1.0,0.0,0.0,-133.28
7,3.0,0.0,1.0,0.0,0.0,-133.28
8,3.0,0.0,1.0,0.0,0.0,-125.44
9,3.0,0.0,1.0,0.0,0.0,-125.44
10,3.0,0.0,1.0,0.0,0.0,-125.44
11,6.0,0.0,2.0,0.0,0.0,-117.6
12,6.0,0.0,2.0,0.0,0.0,-117.6
13,6.0,0.0,2.0,0.0,0.0,-117.6
14,6.0,0.0,2.0,0.0,0.0,-109.76
15,6.0,0.0,2.0,0.0,0.0,-109.76
16,6.0,0.0,2.0,0.0,0.0,-109.76
17,6.0,0.0,2.0,0.0,0.0,-101.92
18,6.0,0.0,2.0,0.0,0.0,-101.92
19,6.0,0.0,2.0,0.0,0.0,-101.92
20,6.0,0.0,2.0,0.0,0.0,-94.08
21,9.0,0.0,3.0,0.0,0.0,-94.08
22,9.0,0.0,3.0,0.0,0.0,-94.08
23,9.0,0.0,3.0,0.0,0.0,-86.24
24,9.0,0.0,3.0,0.0,0.0,-86.24
25,9.0,0.0,3.0,0.0,0.0,-86.24
26,9.0,0.0,3.0,0.0,0.0,-78.4
27,9.0,0.0,3.0,0.0,0.0,-78.4
28,9.0,0.0,3.0,0.0,0.0,-78.4
29,9.0,0.0,3.0,0.0,0.0,-70.56
30,9.0,0.0,3.0,0.0,0.0,-54.88
31,12.0,0.0,4.0,0.0,0.0,-54.88
32,12.0,0.0,4.0,0.0,0.0,-47.04
33,12.0,0.0,4.0,0.0,0.0,-47.04
34,12.0,0.0,4.0,0.0,0.0,-47.04
35,12.0,0.0,4.0,0.0,0.0,-39.2
36,12.0,0.0,4.0,0.0,0.0,-39.2
37,12.0,0.0,4.0,0.0,0.0,-39.2
38,12.0,0.0,4.0,0.0,0.0,-31.36
39,12.0,0.0,4.0,0.0,0.0,-31.36
40,12.0,0.0,4.0,0.0,0.0,0.0
41,15.0,0.0,5.0,0.0,0.0,7.84
42,15.0,0.0,5.0,0.0,0.0,7.84
43,15.0,0.0,5.0,0.0,0.0,7.84
44,15.0,0.0,5.0,0.0,0.0,15.68
45,15.0,0.0,5.0,0.0,0.0,15.68
46,15.0,0.0,5.0,0.0,0.0,15.68
47,15.0,0.0,5.0,0.0,0.0,23.52
48,15.0,0.0,5.0,0.0,0.0,23.52
49,15.0,0.0,5.0,0.0,0.0,23.52
50,15.0,0.0,5.0,0.0,0.0,31.36
51,18.0,0.0,6.0,0.0,0.0,31.36
52,18.0,0.0,6.0,0.0,0.0,31.36
53,18.0,0.0,6.0,0.0,0.0,39.2
54,18.0,0.0,6.0,0.0,0.0,39.2
55,18.0,0.0,6.0,0.0,0.0,39.2
56,18.0,0.0,6.0,0.0,0.0,47.04
57,18.0,0.0,6.0,0.0,0.0,47.04
58,18.0,0.0,6.0,0.0,0.0,47.04
59,18.0,0.0,6.0,0.0,0.0,54.88
60,18.0,0.0,6.0,0.0,0.0,94.08
61,21.0,0.0,7.0,0.0,0.0,94.08
62,21.0,0.0,7.0,0.0,0.0,101.92
63,21.0,0.0,7.0,0.0,0.0,101.92
64,21.0,0.0,7.0,0.0,0.0,101.92
65,21.0,0.0,7.0,0.0,0.0,109.76
66,21.0,0.0,7.0,0.0,0.0,109.76
67,21.0,0.0,7.0,0.0,0.0,109.76
68,21.0,0.0,7.0,0.0,0.0,117.6
69,21.0,0.0,7.0,0.0,0.0,117.6
70,21.0,0.0,7.0,0.0,0.0,133.28
71,24.0,0.0,8.0,0.0,0.0,141.12
72,24.0,0.0,8.0,0.0,0.0,141.12
73,24.0,0.0,8.0,0.0,0.0,141.12
74,24.0,0.0,8.0,0.0,0.0,148.96
75,24.0,0.0,8.0,0.0,0.0,148.96
76,24.0,0.0,8.0,0.0,0.0,148.96
77,24.0,0.0,8.0,0.0,0.0,156.8
78,24.0,0.0,8.0,0.0,0.0,156.8
79,24.0,0.0,8.0,0.0,0.0,156.8
80,24.0,0.0,8.0,0.0,0.0,188.16
81,27.0,0.0,9.0,0.0,0.0,188.16
82,27.0,0.0,9.0,0.0,0.0,188.16
83,27.0,0.0,9.0,0.0,0.0,196.0
84,27.0,0.0,9.0,0.0,0.0,196.0
85,27.0,0.0,9.0,0.0,0.0,196.0
86,27.0,0.0,9.0,0.0,0.0,203.84
87,27.0,0.0,9.0,0.0,0.0,203.84
88,27.0,0.0,9.0,0.0,0.0,203.84
89,27.0,0.0,9.0,0.0,0.0,211.68
90,27.0,0.0,9.0,0.0,0.0,250.88
91,30.0,0.0,10.0,0.0,0.0,250.88
92,30.0,0.0,10.0,0.0,0.0,258.72
93,30.0,0.0,10.0,0.0,0.0,258.72
94,30.0,0.0,10.0,0.0,0.0,258.72
95,30.0,0.0,10.0,0.0,0.0,266.56
96,30.0,0.0,10.0,0.0,0.0,266.56
97,30.0,0.0,10.0,0.0,0.0,266.56
98,30.0,0.0,10.0,0.0,0.0,274.4
99,30.0,0.0,10.0,0.0,0.0,274.4
100,30.0,0.0,10.0,0.0,0.0,274.4
