,筋力,敏捷,技術,変化球,精神,査定値
1,,,,,,-54.88
2,0.0,1.0,1.0,0.0,1.0,-54.88
3,0.0,1.0,1.0,0.0,1.0,-54.88
4,0.0,1.0,1.0,0.0,1.0,-54.88
5,0.0,1.0,1.0,0.0,1.0,-47.04
6,0.0,1.0,1.0,0.0,1.0,-47.04
7,0.0,1.0,1.0,0.0,1.0,-47.04
8,0.0,1.0,1.0,0.0,1.0,-47.04
9,0.0,1.0,1.0,0.0,1.0,-47.04
10,0.0,1.0,1.0,0.0,1.0,-47.04
11,0.0,2.0,2.0,0.0,2.0,-47.04
12,0.0,2.0,2.0,0.0,2.0,-47.04
13,0.0,2.0,2.0,0.0,2.0,-47.04
14,0.0,2.0,2.0,0.0,2.0,-47.04
15,0.0,2.0,2.0,0.0,2.0,-39.2
16,0.0,2.0,2.0,0.0,2.0,-39.2
17,0.0,2.0,2.0,0.0,2.0,-39.2
18,0.0,2.0,2.0,0.0,2.0,-39.2
19,0.0,2.0,2.0,0.0,2.0,-39.2
20,0.0,2.0,2.0,0.0,2.0,-39.2
21,0.0,3.0,3.0,0.0,3.0,-39.2
22,0.0,3.0,3.0,0.0,3.0,-39.2
23,0.0,3.0,3.0,0.0,3.0,-39.2
24,0.0,3.0,3.0,0.0,3.0,-39.2
25,0.0,3.0,3.0,0.0,3.0,-31.36
26,0.0,3.0,3.0,0.0,3.0,-31.36
27,0.0,3.0,3.0,0.0,3.0,-31.36
28,0.0,3.0,3.0,0.0,3.0,-31.36
29,0.0,3.0,3.0,0.0,3.0,-31.36
30,0.0,3.0,3.0,0.0,3.0,-7.84
31,0.0,4.0,4.0,0.0,4.0,-7.84
32,0.0,4.0,4.0,0.0,4.0,-7.84
33,0.0,4.0,4.0,0.0,4.0,-7.84
34,0.0,4.0,4.0,0.0,4.0,-7.84
35,0.0,4.0,4.0,0.0,4.0,0.0
36,0.0,4.0,4.0,0.0,4.0,0.0
37,0.0,4.0,4.0,0.0,4.0,0.0
38,0.0,4.0,4.0,0.0,4.0,0.0
39,0.0,4.0,4.0,0.0,4.0,0.0
40,0.0,4.0,4.0,0.0,4.0,0.0
41,0.0,5.0,5.0,0.0,5.0,0.0
42,0.0,5.0,5.0,0.0,5.0,0.0
43,0.0,5.0,5.0,0.0,5.0,0.0
44,0.0,5.0,5.0,0.0,5.0,0.0
45,0.0,5.0,5.0,0.0,5.0,7.84
46,0.0,5.0,5.0,0.0,5.0,7.84
47,0.0,5.0,5.0,0.0,5.0,7.84
48,0.0,5.0,5.0,0.0,5.0,7.84
49,0.0,5.0,5.0,0.0,5.0,7.84
50,0.0,5.0,5.0,0.0,5.0,7.84
51,0.0,6.0,6.0,0.0,6.0,7.84
52,0.0,6.0,6.0,0.0,6.0,7.84
53,0.0,6.0,6.0,0.0,6.0,7.84
54,0.0,6.0,6.0,0.0,6.0,7.84
55,0.0,6.0,6.0,0.0,6.0,15.68
56,0.0,6.0,6.0,0.0,6.0,15.68
57,0.0,6.0,6.0,0.0,6.0,15.68
58,0.0,6.0,6.0,0.0,6.0,15.68
59,0.0,6.0,6.0,0.0,6.0,15.68
60,0.0,6.0,6.0,0.0,6.0,31.36
61,0.0,7.0,7.0,0.0,7.0,31.36
62,0.0,7.0,7.0,0.0,7.0,31.36
63,0.0,7.0,7.0,0.0,7.0,31.36
64,0.0,7.0,7.0,0.0,7.0,31.36
65,0.0,7.0,7.0,0.0,7.0,39.2
66,0.0,7.0,7.0,0.0,7.0,39.2
67,0.0,7.0,7.0,0.0,7.0,39.2
68,0.0,7.0,7.0,0.0,7.0,39.2
69,0.0,7.0,7.0,0.0,7.0,39.2
70,0.0,7.0,7.0,0.0,7.0,62.72
71,0.0,8.0,8.0,0.0,8.0,62.72
72,0.0,8.0,8.0,0.0,8.0,62.72
73,0.0,8.0,8.0,0.0,8.0,62.72
74,0.0,8.0,8.0,0.0,8.0,62.72
75,0.0,8.0,8.0,0.0,8.0,70.56
76,0.0,8.0,8.0,0.0,8.0,70.56
77,0.0,8.0,8.0,0.0,8.0,70.56
78,0.0,8.0,8.0,0.0,8.0,70.56
79,0.0,8.0,8.0,0.0,8.0,70.56
80,0.0,8.0,8.0,0.0,8.0,86.24
81,0.0,9.0,9.0,0.0,9.0,86.24
82,0.0,9.0,9.0,0.0,9.0,86.24
83,0.0,9.0,9.0,0.0,9.0,86.24
84,0.0,9.0,9.0,0.0,9.0,86.24
85,0.0,9.0,9.0,0.0,9.0,94.08
86,0.0,9.0,9.0,0.0,9.0,94.08
87,0.0,9.0,9.0,0.0,9.0,94.08
88,0.0,9.0,9.0,0.0,9.0,94.08
89,0.0,9.0,9.0,0.0,9.0,94.08
90,0.0,9.0,9.0,0.0,9.0,109.76
91,0.0,10.0,10.0,0.0,10.0,109.76
92,0.0,10.0,10.0,0.0,10.0,109.76
93,0.0,10.0,10.0,0.0,10.0,109.76
94,0.0,10.0,10.0,0.0,10.0,109.76
95,0.0,10.0,10.0,0.0,10.0,117.6
96,0.0,10.0,10.0,0.0,10.0,117.6
97,0.0,10.0,10.0,0.0,10.0,117.6
98,0.0,10.0,10.0,0.0,10.0,117.6
99,0.0,10.0,10.0,0.0,10.0,117.6
100,0.0,10.0,10.0,0.0,10.0,117.6
101,0.0,30.0,30.0,0.0,30.0,227.36
102,0.0,10.0,10.0,0.0,10.0,227.36
103,0.0,10.0,10.0,0.0,10.0,227.36
104,0.0,10.0,10.0,0.0,10.0,227.36
105,0.0,10.0,10.0,0.0,10.0,235.2
106,0.0,20.0,20.0,0.0,20.0,274.4
107,0.0,20.0,20.0,0.0,20.0,274.4
108,0.0,20.0,20.0,0.0,20.0,274.4
