,筋力,敏捷,技術,変化球,精神,査定値
1,,,,,,-31.36
2,0.0,1.0,0.0,0.0,3.0,-31.36
3,0.0,1.0,0.0,0.0,3.0,-31.36
4,0.0,1.0,0.0,0.0,3.0,-31.36
5,0.0,1.0,0.0,0.0,3.0,-23.52
6,0.0,1.0,0.0,0.0,3.0,-23.52
7,0.0,1.0,0.0,0.0,3.0,-23.52
8,0.0,1.0,0.0,0.0,3.0,-23.52
9,0.0,1.0,0.0,0.0,3.0,-23.52
10,0.0,1.0,0.0,0.0,3.0,-23.52
11,0.0,1.0,0.0,0.0,4.0,-23.52
12,0.0,1.0,0.0,0.0,4.0,-23.52
13,0.0,1.0,0.0,0.0,4.0,-23.52
14,0.0,1.0,0.0,0.0,4.0,-23.52
15,0.0,1.0,0.0,0.0,4.0,-15.68
16,0.0,1.0,0.0,0.0,4.0,-15.68
17,0.0,1.0,0.0,0.0,4.0,-15.68
18,0.0,1.0,0.0,0.0,4.0,-15.68
19,0.0,1.0,0.0,0.0,4.0,-15.68
20,0.0,1.0,0.0,0.0,4.0,-15.68
21,0.0,2.0,0.0,0.0,6.0,-15.68
22,0.0,2.0,0.0,0.0,6.0,-15.68
23,0.0,2.0,0.0,0.0,6.0,-15.68
24,0.0,2.0,0.0,0.0,6.0,-15.68
25,0.0,2.0,0.0,0.0,6.0,-7.84
26,0.0,2.0,0.0,0.0,6.0,-7.84
27,0.0,2.0,0.0,0.0,6.0,-7.84
28,0.0,2.0,0.0,0.0,6.0,-7.84
29,0.0,2.0,0.0,0.0,6.0,-7.84
30,0.0,2.0,0.0,0.0,6.0,-7.84
31,0.0,2.0,0.0,0.0,7.0,-7.84
32,0.0,2.0,0.0,0.0,7.0,-7.84
33,0.0,2.0,0.0,0.0,7.0,-7.84
34,0.0,2.0,0.0,0.0,7.0,-7.84
35,0.0,2.0,0.0,0.0,7.0,0.0
36,0.0,2.0,0.0,0.0,7.0,0.0
37,0.0,2.0,0.0,0.0,7.0,0.0
38,0.0,2.0,0.0,0.0,7.0,0.0
39,0.0,2.0,0.0,0.0,7.0,0.0
40,0.0,2.0,0.0,0.0,7.0,0.0
41,0.0,3.0,0.0,0.0,9.0,0.0
42,0.0,3.0,0.0,0.0,9.0,0.0
43,0.0,3.0,0.0,0.0,9.0,0.0
44,0.0,3.0,0.0,0.0,9.0,0.0
45,0.0,3.0,0.0,0.0,9.0,7.84
46,0.0,3.0,0.0,0.0,9.0,7.84
47,0.0,3.0,0.0,0.0,9.0,7.84
48,0.0,3.0,0.0,0.0,9.0,7.84
49,0.0,3.0,0.0,0.0,9.0,7.84
50,0.0,3.0,0.0,0.0,9.0,7.84
51,0.0,3.0,0.0,0.0,10.0,7.84
52,0.0,3.0,0.0,0.0,10.0,7.84
53,0.0,3.0,0.0,0.0,10.0,7.84
54,0.0,3.0,0.0,0.0,10.0,7.84
55,0.0,3.0,0.0,0.0,10.0,15.68
56,0.0,3.0,0.0,0.0,10.0,15.68
57,0.0,3.0,0.0,0.0,10.0,15.68
58,0.0,3.0,0.0,0.0,10.0,15.68
59,0.0,3.0,0.0,0.0,10.0,15.68
60,0.0,3.0,0.0,0.0,10.0,15.68
61,0.0,4.0,0.0,0.0,12.0,15.68
62,0.0,4.0,0.0,0.0,12.0,15.68
63,0.0,4.0,0.0,0.0,12.0,15.68
64,0.0,4.0,0.0,0.0,12.0,15.68
65,0.0,4.0,0.0,0.0,12.0,23.52
66,0.0,4.0,0.0,0.0,12.0,23.52
67,0.0,4.0,0.0,0.0,12.0,23.52
68,0.0,4.0,0.0,0.0,12.0,23.52
69,0.0,4.0,0.0,0.0,12.0,23.52
70,0.0,4.0,0.0,0.0,12.0,23.52
71,0.0,4.0,0.0,0.0,13.0,23.52
72,0.0,4.0,0.0,0.0,13.0,23.52
73,0.0,4.0,0.0,0.0,13.0,23.52
74,0.0,4.0,0.0,0.0,13.0,23.52
75,0.0,4.0,0.0,0.0,13.0,31.36
76,0.0,4.0,0.0,0.0,13.0,31.36
77,0.0,4.0,0.0,0.0,13.0,31.36
78,0.0,4.0,0.0,0.0,13.0,31.36
79,0.0,4.0,0.0,0.0,13.0,31.36
80,0.0,4.0,0.0,0.0,13.0,31.36
81,0.0,5.0,0.0,0.0,15.0,31.36
82,0.0,5.0,0.0,0.0,15.0,31.36
83,0.0,5.0,0.0,0.0,15.0,31.36
84,0.0,5.0,0.0,0.0,15.0,31.36
85,0.0,5.0,0.0,0.0,15.0,39.2
86,0.0,5.0,0.0,0.0,15.0,39.2
87,0.0,5.0,0.0,0.0,15.0,39.2
88,0.0,5.0,0.0,0.0,15.0,39.2
89,0.0,5.0,0.0,0.0,15.0,39.2
90,0.0,5.0,0.0,0.0,15.0,39.2
91,0.0,5.0,0.0,0.0,16.0,39.2
92,0.0,5.0,0.0,0.0,16.0,39.2
93,0.0,5.0,0.0,0.0,16.0,39.2
94,0.0,5.0,0.0,0.0,16.0,39.2
95,0.0,5.0,0.0,0.0,16.0,47.04
96,0.0,5.0,0.0,0.0,16.0,47.04
97,0.0,5.0,0.0,0.0,16.0,47.04
98,0.0,5.0,0.0,0.0,16.0,47.04
99,0.0,5.0,0.0,0.0,16.0,47.04
100,0.0,5.0,0.0,0.0,16.0,47.04
101,0.0,15.0,0.0,0.0,45.0,172.48
102,0.0,5.0,0.0,0.0,16.0,172.48
103,0.0,5.0,0.0,0.0,16.0,172.48
104,0.0,5.0,0.0,0.0,16.0,172.48
105,0.0,5.0,0.0,0.0,16.0,180.32
106,0.0,10.0,0.0,0.0,32.0,211.68
107,0.0,10.0,0.0,0.0,32.0,211.68
108,0.0,10.0,0.0,0.0,32.0,211.68
