,筋力,敏捷,技術,変化球,精神,査定値
1,,,,,,-54.88
2,1.0,1.0,1.0,0.0,0.0,-54.88
3,1.0,1.0,1.0,0.0,0.0,-54.88
4,1.0,1.0,1.0,0.0,0.0,-54.88
5,1.0,1.0,1.0,0.0,0.0,-47.04
6,1.0,1.0,1.0,0.0,0.0,-47.04
7,1.0,1.0,1.0,0.0,0.0,-47.04
8,1.0,1.0,1.0,0.0,0.0,-47.04
9,1.0,1.0,1.0,0.0,0.0,-47.04
10,1.0,1.0,1.0,0.0,0.0,-47.04
11,2.0,2.0,2.0,0.0,0.0,-47.04
12,2.0,2.0,2.0,0.0,0.0,-47.04
13,2.0,2.0,2.0,0.0,0.0,-47.04
14,2.0,2.0,2.0,0.0,0.0,-47.04
15,2.0,2.0,2.0,0.0,0.0,-39.2
16,2.0,2.0,2.0,0.0,0.0,-39.2
17,2.0,2.0,2.0,0.0,0.0,-39.2
18,2.0,2.0,2.0,0.0,0.0,-39.2
19,2.0,2.0,2.0,0.0,0.0,-39.2
20,2.0,2.0,2.0,0.0,0.0,-39.2
21,3.0,3.0,3.0,0.0,0.0,-39.2
22,3.0,3.0,3.0,0.0,0.0,-39.2
23,3.0,3.0,3.0,0.0,0.0,-39.2
24,3.0,3.0,3.0,0.0,0.0,-39.2
25,3.0,3.0,3.0,0.0,0.0,-31.36
26,3.0,3.0,3.0,0.0,0.0,-31.36
27,3.0,3.0,3.0,0.0,0.0,-31.36
28,3.0,3.0,3.0,0.0,0.0,-31.36
29,3.0,3.0,3.0,0.0,0.0,-31.36
30,3.0,3.0,3.0,0.0,0.0,-7.84
31,4.0,4.0,4.0,0.0,0.0,-7.84
32,4.0,4.0,4.0,0.0,0.0,-7.84
33,4.0,4.0,4.0,0.0,0.0,-7.84
34,4.0,4.0,4.0,0.0,0.0,-7.84
35,4.0,4.0,4.0,0.0,0.0,0.0
36,4.0,4.0,4.0,0.0,0.0,0.0
37,4.0,4.0,4.0,0.0,0.0,0.0
38,4.0,4.0,4.0,0.0,0.0,0.0
39,4.0,4.0,4.0,0.0,0.0,0.0
40,4.0,4.0,4.0,0.0,0.0,0.0
41,5.0,5.0,5.0,0.0,0.0,0.0
42,5.0,5.0,5.0,0.0,0.0,0.0
43,5.0,5.0,5.0,0.0,0.0,0.0
44,5.0,5.0,5.0,0.0,0.0,0.0
45,5.0,5.0,5.0,0.0,0.0,7.84
46,5.0,5.0,5.0,0.0,0.0,7.84
47,5.0,5.0,5.0,0.0,0.0,7.84
48,5.0,5.0,5.0,0.0,0.0,7.84
49,5.0,5.0,5.0,0.0,0.0,7.84
50,5.0,5.0,5.0,0.0,0.0,7.84
51,6.0,6.0,6.0,0.0,0.0,7.84
52,6.0,6.0,6.0,0.0,0.0,7.84
53,6.0,6.0,6.0,0.0,0.0,7.84
54,6.0,6.0,6.0,0.0,0.0,7.84
55,6.0,6.0,6.0,0.0,0.0,15.68
56,6.0,6.0,6.0,0.0,0.0,15.68
57,6.0,6.0,6.0,0.0,0.0,15.68
58,6.0,6.0,6.0,0.0,0.0,15.68
59,6.0,6.0,6.0,0.0,0.0,15.68
60,6.0,6.0,6.0,0.0,0.0,31.36
61,7.0,7.0,7.0,0.0,0.0,31.36
62,7.0,7.0,7.0,0.0,0.0,31.36
63,7.0,7.0,7.0,0.0,0.0,31.36
64,7.0,7.0,7.0,0.0,0.0,31.36
65,7.0,7.0,7.0,0.0,0.0,39.2
66,7.0,7.0,7.0,0.0,0.0,39.2
67,7.0,7.0,7.0,0.0,0.0,39.2
68,7.0,7.0,7.0,0.0,0.0,39.2
69,7.0,7.0,7.0,0.0,0.0,39.2
70,7.0,7.0,7.0,0.0,0.0,54.88
71,8.0,8.0,8.0,0.0,0.0,54.88
72,8.0,8.0,8.0,0.0,0.0,54.88
73,8.0,8.0,8.0,0.0,0.0,54.88
74,8.0,8.0,8.0,0.0,0.0,54.88
75,8.0,8.0,8.0,0.0,0.0,62.72
76,8.0,8.0,8.0,0.0,0.0,62.72
77,8.0,8.0,8.0,0.0,0.0,62.72
78,8.0,8.0,8.0,0.0,0.0,62.72
79,8.0,8.0,8.0,0.0,0.0,62.72
80,8.0,8.0,8.0,0.0,0.0,78.4
81,9.0,9.0,9.0,0.0,0.0,78.4
82,9.0,9.0,9.0,0.0,0.0,78.4
83,9.0,9.0,9.0,0.0,0.0,78.4
84,9.0,9.0,9.0,0.0,0.0,78.4
85,9.0,9.0,9.0,0.0,0.0,86.24
86,9.0,9.0,9.0,0.0,0.0,86.24
87,9.0,9.0,9.0,0.0,0.0,86.24
88,9.0,9.0,9.0,0.0,0.0,86.24
89,9.0,9.0,9.0,0.0,0.0,86.24
90,9.0,9.0,9.0,0.0,0.0,109.76
91,10.0,10.0,10.0,0.0,0.0,109.76
92,10.0,10.0,10.0,0.0,0.0,109.76
93,10.0,10.0,10.0,0.0,0.0,109.76
94,10.0,10.0,10.0,0.0,0.0,109.76
95,10.0,10.0,10.0,0.0,0.0,117.6
96,10.0,10.0,10.0,0.0,0.0,117.6
97,10.0,10.0,10.0,0.0,0.0,117.6
98,10.0,10.0,10.0,0.0,0.0,117.6
99,10.0,10.0,10.0,0.0,0.0,117.6
100,10.0,10.0,10.0,0.0,0.0,117.6
101,30.0,30.0,30.0,0.0,0.0,227.36
102,10.0,10.0,10.0,0.0,0.0,227.36
103,10.0,10.0,10.0,0.0,0.0,227.36
104,10.0,10.0,10.0,0.0,0.0,227.36
